"subject_age","subject_race","subject_sex","lng","lat","violation_type","prob"
46,"white","male",-111.8401712,33.3899582,"running_red_light_or_without_headlight",0.006
46,"white","male",-111.8401712,33.3899582,"without_proper_documents_or_vehicle_defects",0.858
37,"white","male",-111.8617657,33.4007872,"distracted_driving",0
37,"white","male",-111.8617657,33.4007872,"leaving_scene_of_an_accident_informing",0
37,"white","male",-111.8617657,33.4007872,"reckless_driving",0.372
37,"white","male",-111.8617657,33.4007872,"running_red_light_or_without_headlight",0.002
37,"white","male",-111.8617657,33.4007872,"without_proper_documents_or_vehicle_defects",0.626
25,"black","male",-111.8587786,33.393143,"distracted_driving",0.038
25,"black","male",-111.8587786,33.393143,"leaving_scene_of_an_accident_informing",0
25,"black","male",-111.8587786,33.393143,"reckless_driving",0.062
25,"black","male",-111.8587786,33.393143,"running_red_light_or_without_headlight",0.002
25,"black","male",-111.8587786,33.393143,"without_proper_documents_or_vehicle_defects",0.898
29,"hispanic","male",-111.8573979,33.3888887,"distracted_driving",0
29,"hispanic","male",-111.8573979,33.3888887,"leaving_scene_of_an_accident_informing",0
29,"hispanic","male",-111.8573979,33.3888887,"reckless_driving",0
29,"hispanic","male",-111.8573979,33.3888887,"running_red_light_or_without_headlight",0
29,"hispanic","male",-111.8573979,33.3888887,"without_proper_documents_or_vehicle_defects",1
22,"hispanic","male",-111.8527309,33.4004244,"distracted_driving",0
22,"hispanic","male",-111.8527309,33.4004244,"leaving_scene_of_an_accident_informing",0
22,"hispanic","male",-111.8527309,33.4004244,"reckless_driving",0
22,"hispanic","male",-111.8527309,33.4004244,"running_red_light_or_without_headlight",0.962
22,"hispanic","male",-111.8527309,33.4004244,"without_proper_documents_or_vehicle_defects",0.038
36,"hispanic","male",-111.8596018,33.375083,"distracted_driving",0
36,"hispanic","male",-111.8596018,33.375083,"leaving_scene_of_an_accident_informing",0
36,"hispanic","male",-111.8596018,33.375083,"reckless_driving",0.004
36,"hispanic","male",-111.8596018,33.375083,"running_red_light_or_without_headlight",0.642
